Email,isSpam
"Didn't know orig was granted.  Will book today.  Thanks.If you're available, I'd like to get together early this week to talk about whether we think there's value in going forward with develop efforts.Mitch -----Original Message-----From: 	Kitchen, Louise  Sent:	Friday, July 06, 2001 3:45 PMTo:	Robinson, MitchSubject:	Re: Loretta PricingDid you book your one million granted orig from John - if not, please make sure you do quickly.ThanksLouiseFrom:	Mitch Robinson/ENRON@enronXgate on 07/02/2001 06:07 PMTo:	John J Lavorato/ENRON@enronXgate, Louise Kitchen/HOU/ECT@ECTcc:	Kevin M Presto/ENRON@enronXgate, W David Duran/ENRON@enronXgate Subject:	Loretta PricingJohn and Louise -Based on your meeting with Kevin and Dave earlier today, I understand you would like a breakdown of the expenditures expected to develop a Texas coal plant to the point that it can be monetized.The below is my best estimate for developing the Brownsville site to get to the monetization point (permits in hand and EPC contract signed).  I expect to have both an EPC contract and permits in hand some time around Sep '02 if we start with the expenditures in mid July '01.  Expenditures will be incurred at the rate of approximately $350,000 per month for the next 12 months.  We can back out at any time with only prompt month plus one additional month committed.Costs for a Florida site will be similar; however, expenditures will not start until we achieve site control.My recommendation is to start fully developing the Brownsville, TX site with a plan to flip the site once we have a permit, as market conditions warrant.  I recommend holding off on significant expenditures in Florida until we get more comfortable with site control.Mitch		By 9/02			$000's	Option for land lease		 $       33 	EPC contractor preliminary engineering		 $     300 	Owner's engineer		 $    1,200	Permit Filing - Consultant, etc		 $     800	Detailed Engineering		 $    1,400	Fuel transport study/contract		 $     200 	Geotech studies		 $     400 													Total		 $   4,333	",0
"Update---The deal probably won't be signed until Monday, there are some legal issues on the guarantees (nothing major its just a logistical issue regarding the availability of the attorneys).  I'll keep you posted.  Not to worry, its done, as far as I'm concerned. -----Original Message-----From: 	Kitchen, Louise  Sent:	Friday, March 30, 2001 3:11 PMTo:	Sukaly, BruceSubject:	Great news on FronteraI do not need anything but would like a copy ofhte contracts just for me to read when you have themThanksHave a good week-end.Louise",0
"Hey guys, don't mean to be a broken record here, but this is a regular occurence now. What's not working? Should we find an alternate solution for pricing and hedging these deals? Give me a call or let's set up some time to discuss. Thanks.--------------------- Forwarded by Janet R Dietrich/HOU/EES on 05/03/2001 07:37 AM ---------------------------Don Black05/02/2001 12:27 PMTo:	Janet Dietrichcc:	 Subject:	EOL 5/2/01---------------------- Forwarded by Don Black/HOU/EES on 05/02/2001 12:26 PM ---------------------------Erika Breen05/02/2001 09:32 AMTo:	Don Black/HOU/EES@EEScc:	Charles Decker/HOU/EES@EES Subject:	EOL 5/2/01These products are not on EOL today:		Peak		OffPeakCin				03-10Comed				02-10ENT		02-10		03-10TVA		02-10		02-10ERCOT		03-10		02-10NYA		02-10		02-10NYG		02-10		02-10NYJ		02-03		02-03Nepool		03-10		02-10PJM		09-10		03-10",0
"This is not going to work.  Do you want me to control the priority list like we used to do at Enron?  Please let me know.Bill -----Original Message-----From: 	Forster, David  Sent:	Friday, February 01, 2002 2:53 PMTo:	Bradford, William S.; Brackett, Debbie R.; 'pat.odonnell@ubsw.com'; 'louis.eber@ubsw.com'; 'william.glass@ubsw.com'; 'colette.dow@ubsw.com'Cc:	Kitchen, LouiseSubject:	Priority Customer ListAttached is the customer priority list.This is intended to be the ""pre-approved"" list for companies to be ready on launch day and includes US and Canadian entities in gas and power.I have most recently been told that individual legal names are not wanted in this list - only group names. If individual legal names are needed, let me know - I can provide the list that way as well.Note that there are about 25 more names on this list than the list previously supplied to credit. It appears a number of Canadian companies some non-online companies were not included in the original list. This most recent list includes these names and provides an order of priority for them.I will be sending another list later, which will identify the type of Master Agreement priority for each (ISDA, Physical Gas, Physical Power)Dave ",0
"Daren - meter 1558 has flow and no nom for day 1 and day 6.  HPL is currently out there starting on day 7, deal # 604056.  Could you add these days to the deal or let me know what you do.AL",0
" -----Original Message-----From: 	St. Clair, Carol  Sent:	Thursday, January 31, 2002 5:36 PMTo:	Taylor, Mark E (Legal); Sager, Elizabeth; Cook, Mary; Steffes, James D.; 'bryan.murtagh@ubsw.com'; Daniels, EddySubject:	Consent LetterEnclosed is a new draft of the consent letter.  Carol St. ClairEB 4539713-853-3989 (phone)713-646-3393 (fax)281-382-1943 (cell phone)8774545506 (pager)281-890-8862 (home fax)carol.st.clair@enron.com",0
"Bill, why don't you and I get together to discuss the proposal. As you know, we are intending to transfer credit risk through the Project X, Y and Z structures but not likely the most riskier of credits. All of the structures rely on CDO and synthetic CDO structures. In addition, we have received indications of interest on non-funded risk transfer structures, pure first loss transfer, that may be interesting to review. -----Original Message-----From: 	Kitchen, Louise  Sent:	Friday, August 31, 2001 11:27 AMTo:	Deffner, Joseph; Bradford, William S.Subject:	FW: High Yield Portfolio HedgingAny comments? -----Original Message-----From: 	Barker-bennett, Robina  Sent:	Friday, August 31, 2001 8:28 AMTo:	Kitchen, LouiseSubject:	High Yield Portfolio HedgingLouiseHope alls well and you're enjoying life in Houston.  One of the projects my group (Enron Credit - Syndication), are currently working on is to try and originate, structure and place a High Yield and / or Emerging Market CDO, which is made up of both Enron risks and externally originated risks. The plan would be to provide a cost effective way for Enron to hedge its credit exposure to riskier counterparties.   I am not sure if Enron North America has any of this type of exposure, but would be interested to talk to someone and find out if there is any way that we might be able to help your group.   I attach a short presentation which outlines the rationale for what we are doing.  File: hy int pitch 020801 v2.ppt  I am going to be in Houston the week of the 17th September and would appreciate a steer as to who would be the best person to speak to on this.Regards, Robina",0
"Can either of you verify this?---------------------- Forwarded by Gary W Lamphier/HOU/ECT on 02/01/2001 10:18 AM ---------------------------Paul Couvillon@ENRON01/31/2001 02:45 PMTo: Gary W Lamphier/HOU/ECT@ECTcc: Janet H Wallis/HOU/ECT@ECT, Joanie H Ngo/HOU/ECT@ECT, Mary Poorman/NA/Enron@Enron Subject: Deal # 529159 for December 2000	Gary:For Company 12 could you please put in a buy-back for Reliant Energy HL&P on Contract # 96022113 for the volume of 1,286 Mmbtu's on 12/27/2000.  The pipeline and point are HPL/UTTC-HARDY STREET MIDCON (BI-DIRECTIONAL) and the scheduler is Mary Poorman @ X-35251.  The pricing should be as follows;The lower of KATY MID day of flow or day after.The pricing of KATY MID for 10/27 was $ 10.26                10/28 was $ 9.63.The sale counter-part to this purchase should go to deal # 529159.",0
"FYI - Duke Energy Field Services will be reworking the Wilcox Plant on 9/26 f rom 7am to 12 noon and will require that HPL shut-in the 20M del. for that time frame.  Should you have any further questions, please call me at 35251.Mary",0
"Capital curve model is complete. We are running several pricing scenarios to validate the mechanics to ensure that the new zero curve does accurately reflect interest expense. We should be ready to go by the end of next week. I would like to implement the week we return from the offsite. As you can see below, while we have priced several deals to date, only two have actually closed and funded. -----Original Message-----From: 	Quaintance Jr., Alan  Sent:	Tuesday, August 07, 2001 4:06 PMTo:	Deffner, JosephSubject:	FW: Capital BookThe only deals in the capital book so far are:Michigan Cons.  $169,459NUI Corp	$289,118AQ -----Original Message-----From: 	Cothran, Robert  Sent:	Tuesday, August 07, 2001 4:00 PMTo:	Quaintance Jr., AlanSubject:	RE: Capital BookAlan - since I picked this up from Hardy, there has been no activity (as I have checked each day).  The only transaction recorded is per the attached spreadsheet used to input the data into SAP (from April, 2001): .thanks,Robert -----Original Message-----From: 	Quaintance Jr., Alan  Sent:	Tuesday, August 07, 2001 3:46 PMTo:	Cothran, RobertSubject:	Capital BookRobert:Do you have a summary of the deals so far that are in the capital book?  Do you keep a spreadsheet?  Let me know.Thanks,AQ",0
